번호,"﻿분류",키워드,답변,이미지,변환 이미지,레퍼런스,제작 진행 현황,Last edited by
1,혈당과 체지방,"#칼로리 다이어트 
#반쪽짜리 다이어트 
#기존 다이어트
#저칼로리 다이어트","칼로리 기반 다이어트는 잘못된 상식을 토대로 만들어졌어요. 그래서 과정은 힘들고 결과는 유지하기 어려운 반쪽짜리 다이어트랍니다. 같은 칼로리의 두 가지 음식을 두고 같은 음식이라고 하는 것은 말이 되지 않아요. 

칼로리만 보고 음식을 섭취하다가 우리 몸에 전혀 다른 결과를 초래할 수 있어요!",,,,최종,프로덕트 웰다
2,혈당과 체지방,"#칼로리 다이어트의 부작용 
#기존 다이어트 부작용
#저칼로리 다이어트 부작용
#기초대사량 감소","칼로리만 생각하여 무작정 저칼로리 다이어트에 돌입하면 처음엔 살이 빠지는가 싶더라도 결국엔 많은 부작용을 낳게 돼요.

예를 들어, 식사를 해도 금방 다시 허기가 지고 당이 떨어진다는 느낌이 수시로 들어요. 또한 다이어트를 하면 할수록 몸에 힘이 없고, 몸에 힘이 없으니 운동을 하는 것은 더욱 어렵게 됩니다. 그리고 이 과정을 어떻게든 참아내며 살을 빼더라도 다이어트가 끝나고 다시 원래대로 먹게 되면 내 몸의 기초대사량은 이미 떨어질 대로 떨어져 다시 살이 금방 찌게 되죠.",,,,최종,프로덕트 웰다
3,혈당과 체지방,"#혈당 다이어트 
#완전한 다이어트","우리 몸은 같은 칼로리의 음식이더라도 영양성분에 따라 큰 영향을 받을 수 있으며, 이는 우리 몸의 혈당 변화로 즉각적으로 나타나요!

음식의 칼로리뿐 아니라 영양성분까지 고려해서 다이어트를 하면 과정은 힘들지 않고 결과는 유지할 수 있는 완전하고 건강한 다이어트를 할 수 있어요.",,,,최종,프로덕트 웰다
4,혈당과 체지방,"#혈당 다이어트의 장점 
#웰다 장점 ","칼로리가 아닌 영양성분을 고려하여 음식을 섭취할수록 내 몸의 혈당이 안정화되고, 쌓여있는 체지방을 효율적으로 사용할 수 있어요. 

이렇게 대사 유연성이 활성화될수록 허기가 덜 지게 되어 자연스럽게 필요한 만큼만 먹는 식습관을 형성할 수 있어요. 그리고 칼로리에 집착하지 않아도 되니 다양하고 맛있는 음식을 충분히 섭취할 수 있어 기초 대사량이 떨어지지 않고 요요 없이 유지할 수 있는 다이어트를 할 수 있어요. 

혈당을 고려한 다이어트는 체지방 감량뿐 아니라 건강한 몸을 오랜 기간 유지하는 핵심이기도 해요. ",,,,최종,프로덕트 웰다
5,혈당과 체지방,"#혈당 
#혈당이란 
#건강한 혈당
#정상 혈당 수치","혈당이란 혈액 속 녹아 있는 포도당 수치를 말해요! 건강한 사람의 몸은 기본적으로 일정 수준(60mg/dL~100mg/dL)의 혈당 수치를 유지해요.

음식을 섭취하면 포도당이 혈액으로 흡수되고 이로 인해 일정 수준으로 유지되던 혈당 수치에 변화가 올 수 있어요. 혈당 수치에 변화가 자주 일어나면 우리도 모르는 사이에 다양한 부작용이 일어날 수 있어요.",,,,최종,프로덕트 웰다
6,혈당과 체지방,"#포도당과 손상 
#당화반응
#혈당과 당화반응
#혈당과 노화","혈액을 타고 돌아다니는 당과 부딪힌 세포는 손상을 입는데, 이를 당화 반응이라고 해요. 
혈액에 포도당이 더 많을수록 당화 반응이 더욱 많이 일어납니다. 이렇게 당화된 분자는 영구적으로 손상되어요!

당화 반응이 자주 발생할수록 노화를 촉진시켜 겉으로는 피부가 처져 주름이 생기게 하며 속으로는 염증 발생이 증가하여 심혈관 질환, 암, 치매 등 다양한 질환을 일으킬 수 있어요.

따라서 우리 몸은 과잉의 포도당이 혈류에 유입되면 빠르게 처리해 주어야 하며, 그렇지 않고 혈당이 높은 상태로 유지되면 손상이 끊임없이 일어나고 빠른 시간 내의 우리의 생명까지 위협할 수 있습니다. ",,,,최종,프로덕트 웰다
7,혈당과 체지방,"#인슐린 
#인슐린이란
#열쇠 
#혈당 조절 호르몬","우리 몸에는 높아진 혈당을 낮추기 위해 존재하는 아주 중요한 호르몬이 있어요. 바로 췌장에서 분비되는 인슐린이에요. 

인슐린은 세포가 포도당을 받아들일 수 있도록 문을 여는 중요한 열쇠와 같은 역할을 해요. 인슐린 덕분에 혈류로 들어온 당을 몸 속에 저장할 수 있어, 당이 더 이상 체내에 손상을 일으키지 않도록 도와줘요. 

인슐린이 없다면 우리는 살 수 없어요.",,,,최종,프로덕트 웰다
8,혈당과 체지방,"#체지방 생성 원리
#혈당과 체지방
#포도당 저장 공간","혈류로 들어온 포도당이 에너지로 사용되고도 남으면 우선 간과 근육에 저장돼요. 이렇게 저장된 포도당은 더 이상 손상을 일으키지 않아요. 하지만 간과 근육에는 포도당을 저장할 수 있는 공간이 한정되어 있어요.

이렇게 간과 근육의 공간이 다 차면, 우리 몸은 혈류 속 과잉의 포도당을 지방으로 저장하기 시작해요! 지방은 간과 근육과 다르게 이론상 무한대로 당을 저장할 수 있어요. 

이것이 바로 우리가 살이 찌는 이유 중 하나랍니다!",,,,최종,프로덕트 웰다
9,혈당과 체지방,"#남녀노소 혈당관리
#음식 섭취 후 혈당 상승
#혈당은 누구나 오르는 것 
#건강한 사람도 혈당이 오르나요","혈당 관리는 건강한 사람과는 관련이 없다고 생각하지만, 사실은 그렇지 않아요!

나이가 어린 건강한 청소년부터 노인까지, 남녀노소 모두 음식을 섭취할 때마다 혈당이 상승할 수 있어요. 일반적으로 혈당이 상승하면 인슐린이 분비되고 혈류 속 당을 체내 곳곳으로 이동시켜 혈당 수치를 정상으로 되돌려 놓아요. 

이렇게 혈당 수치가 어느 수준 이상 올라갔다가 떨어지는 현상을 혈당 스파이크라고 해요.",,,,최종,프로덕트 웰다
10,혈당 스파이크,"#혈당스파이크 
#혈당 스파이크 기준 
#혈당 스파이크의 문제점 
#혈당 스파이크의 영향","혈당 수치가 어느 수준 이상 급격하게 올라갔다가 떨어지는 현상을 혈당 스파이크라고 해요.

식후 2시간 이내 혈당이 30mg/dL 이상 증가 후 떨어지는 경우를 혈당 스파이크가 발생했다고 봐요. 혈당 스파이크가 발생할 때마다 우리의 몸은 손상을 입어요. 음식을 섭취할 때마다 혈당 스파이크가 발생할 수 있다는 것은 우리도 모르는 사이에 수천, 수만번의 혈당 스파이크를 경험할 수 있다는 뜻이에요. 

혈당 스파이크가 자주 발생하면 단기적으로는 식곤증, 허기짐, 만성피로, 브레인포그, 여드름과 염증 같은 증상부터 장기적으로는 비만, 우울 및 불안증, 다낭성 난소 증후군, 당뇨, 치매, 암과 같은 치명적인 문제가 생길 수 있어요.",,,,최종,프로덕트 웰다
